randomness parameter value;Pairing;Smooth;Slim;Pairing Lazy;Pairing Slim;Pairing Smooth
randomness parameter value;21;22;23;25;27;28
0.05;11.741399999999999;9.810599999999999;10.6052;9.641599999999999;12.629100000000001;12.007799999999998
0.1;12.6226;10.5028;11.2652;10.206900000000001;13.2855;12.6389
0.15000000000000002;13.1514;10.872799999999998;11.676799999999997;10.5271;13.692;12.999099999999999
0.2;13.521199999999999;11.169200000000002;11.9656;10.7881;14.006899999999998;13.331100000000001
0.25;13.8032;11.402800000000001;12.239799999999999;10.931199999999999;14.208899999999998;13.517
0.30000000000000004;14.0598;11.5416;12.3854;11.0383;14.4567;13.691599999999998
0.35000000000000003;14.200799999999997;11.7122;12.5626;11.1673;14.5605;13.847
0.4;14.419599999999999;11.836400000000001;12.7048;11.241000000000001;14.660400000000001;13.9833
0.45;14.617400000000002;11.9516;12.855;11.303399999999998;14.813000000000002;14.0725
0.5;14.639400000000002;12.014;12.900599999999999;11.3224;14.859300000000001;14.152899999999999
0.55;14.850599999999998;12.128399999999997;12.9812;11.3932;15.050500000000001;14.262700000000002
0.6000000000000001;14.8702;12.2018;13.103;11.474400000000001;15.0442;14.3022
0.65;14.968;12.283;13.1082;11.429700000000002;15.081199999999999;14.370000000000001
0.7000000000000001;14.990200000000002;12.355000000000002;13.247000000000002;11.5205;15.1723;14.467
0.75;15.261;12.404200000000001;13.2956;11.532699999999998;15.257200000000001;14.5077
0.8;15.051;12.445599999999999;13.3544;11.4759;15.2619;14.4434
0.8500000000000001;15.1852;12.507799999999998;13.369;11.5205;15.3532;14.610600000000002
0.9;15.344400000000002;12.556999999999999;13.431599999999998;11.526;15.3252;14.598
0.9500000000000001;15.305800000000001;12.589599999999999;13.4848;11.533100000000001;15.4067;14.623800000000001
1.0;15.404600000000002;12.677200000000001;13.554400000000001;11.563199999999998;15.430499999999999;14.6354
