randomness parameter value;Pairing;Smooth;Slim
randomness parameter value;21;22;23
0.05;11.010392156862746;14.179803921568627;14.647647058823528
0.1;12.403960396039604;15.908019801980197;16.703069306930693
0.15000000000000002;13.072913907284768;17.057417218543044;17.904900662251656
0.2;13.62462686567164;17.840199004975123;18.85771144278607
0.25;13.942908366533864;18.523306772908363;19.58330677290837
0.30000000000000004;14.362691029900333;18.96262458471761;20.13
0.35000000000000003;14.569544159544158;19.432364672364674;20.703333333333333
0.4;14.763067331670825;19.796134663341647;21.118354114713217
0.45;15.106917960088692;20.032882483370287;21.434323725055435
0.5;15.302075848303394;20.287904191616764;21.752634730538926
0.55;15.609582577132487;20.46395644283122;22.001070780399274
0.6000000000000001;15.52602329450915;20.900748752079867;22.515723793677203
0.65;15.783579109062979;20.99486943164363;22.620706605222736
0.7000000000000001;15.853252496433667;21.200756062767475;22.873323823109846
0.75;15.801517976031956;21.55226364846871;23.207749667110516
0.8;16.213645443196004;21.52741573033708;23.292521847690388
0.8500000000000001;16.025323149236193;21.87457109283196;23.665264394829613
0.9;16.289200887902332;21.875549389567148;23.720499445061044
0.9500000000000001;16.447833859095688;21.93937960042061;23.81072555205047
1.0;16.49248751248751;22.128211788211786;24.064265734265735
