randomness parameter value;Pairing;Smooth;Slim
randomness parameter value;21;22;23
0.05;11.010392156862746;9.01156862745098;9.780392156862744
0.1;12.403960396039604;10.015346534653466;11.078811881188118
0.15000000000000002;13.072913907284768;10.60907284768212;11.791721854304637
0.2;13.62462686567164;11.022835820895523;12.361393034825872
0.25;13.942908366533864;11.37426294820717;12.775896414342627
0.30000000000000004;14.362691029900333;11.623222591362127;13.126578073089702
0.35000000000000003;14.569544159544158;11.846182336182338;13.435811965811967
0.4;14.763067331670825;12.033192019950123;13.681221945137157
0.45;15.106917960088692;12.200354767184034;13.911574279379156
0.5;15.302075848303394;12.344950099800398;14.106506986027943
0.55;15.609582577132487;12.486896551724138;14.317876588021779
0.6000000000000001;15.52602329450915;12.589384359400999;14.472512479201331
0.65;15.783579109062979;12.7199846390169;14.627327188940093
0.7000000000000001;15.853252496433667;12.819457917261055;14.75503566333809
0.75;15.801517976031956;12.913901464713716;14.861957390146472
0.8;16.213645443196004;12.996254681647939;15.0167290886392
0.8500000000000001;16.025323149236193;13.093419506462984;15.136580493537014
0.9;16.289200887902332;13.164173140954494;15.248679245283018
0.9500000000000001;16.447833859095688;13.23509989484753;15.344237644584648
1.0;16.49248751248751;13.301868131868133;15.460639360639362
