randomness parameter value;Pairing;Smooth;Slim;Pairing Lazy;Pairing Slim;Pairing Smooth
randomness parameter value;21;22;23;25;27;28
0.05;11.741399999999999;16.1324;16.641199999999998;19.283199999999997;15.2764;14.9722
0.1;12.6226;17.4388;17.9214;20.413800000000002;16.1764;15.8736
0.15000000000000002;13.1514;18.148999999999997;18.730800000000002;21.0542;16.7888;16.415000000000003
0.2;13.521199999999999;18.7472;19.305400000000002;21.5762;17.2334;16.889
0.25;13.8032;19.1804;19.813600000000005;21.862399999999997;17.5328;17.175800000000002
0.30000000000000004;14.0598;19.478799999999996;20.1162;22.0766;17.919600000000003;17.4354
0.35000000000000003;14.200799999999997;19.7992;20.4484;22.3346;18.066800000000004;17.6436
0.4;14.419599999999999;20.0006;20.750199999999996;22.482000000000003;18.2278;17.838600000000003
0.45;14.617400000000002;20.2512;21.0594;22.606799999999996;18.441200000000002;17.9812
0.5;14.639400000000002;20.352;21.1306;22.6448;18.525800000000004;18.0894
0.55;14.850599999999998;20.580800000000004;21.293599999999998;22.7864;18.748600000000003;18.2536
0.6000000000000001;14.8702;20.715600000000002;21.5302;22.948800000000002;18.7698;18.316200000000002
0.65;14.968;20.848399999999998;21.5778;22.859400000000004;18.846;18.398399999999995
0.7000000000000001;14.990200000000002;20.9948;21.824;23.041;18.9702;18.545800000000003
0.75;15.261;21.090600000000002;21.935399999999998;23.065399999999997;19.1012;18.6116
0.8;15.051;21.176;22.0436;22.9518;19.113;18.514000000000003
0.8500000000000001;15.1852;21.2654;22.0914;23.041;19.232;18.766399999999997
0.9;15.344400000000002;21.3766;22.226399999999998;23.052;19.225399999999997;18.7686
0.9500000000000001;15.305800000000001;21.3678;22.3122;23.066200000000002;19.301399999999997;18.753600000000002
1.0;15.404600000000002;21.563200000000002;22.4822;23.126399999999997;19.375999999999998;18.7964
