randomness parameter value;Pairing;Smooth;Slim;Pairing Lazy
randomness parameter value;0;12;24;25
1e-05;3.3110000000000004;0.9997999999999998;0.9997999999999998;2.1883499999999994
0.01001;9.68417;10.01514;10.76004;6.64637
0.02001;10.84982;11.648810000000001;12.770880000000002;7.828185
0.03001;11.53723;12.59741;13.972340000000003;8.55246
0.040010000000000004;12.001730000000002;13.24934;14.80204;9.080090000000002
0.050010000000000006;12.383560000000001;13.77589;15.471220000000002;9.500995000000001
0.06001;12.667799999999998;14.16698;15.966930000000001;9.840195
0.07001;12.91055;14.509879999999997;16.41203;10.112824999999999
0.08001;13.10008;14.78755;16.758090000000003;10.358055
0.09000999999999999;13.284019999999998;15.02745;17.09184;10.570095
0.10001;13.439160000000001;15.262720000000002;17.35978;10.759465
0.11001;13.5876;15.457749999999999;17.616750000000003;10.939535000000001
0.12000999999999999;13.699069999999999;15.6084;17.794909999999998;11.06315
0.13001000000000001;13.801789999999999;15.739049999999999;17.973660000000002;11.196085000000002
0.14001000000000002;13.902619999999999;15.884779999999997;18.183780000000002;11.32027
0.15001;13.986209999999998;16.02157;18.331120000000002;11.420300000000001
0.16001;14.08183;16.13956;18.48476;11.554659999999998
0.17001000000000002;14.153589999999998;16.22748;18.6049;11.621349999999998
0.18001;14.22588;16.3477;18.746219999999997;11.73506
0.19001;14.296000000000001;16.43946;18.850139999999996;11.803934999999997
0.20001000000000002;14.35661;16.54222;18.96246;11.884735
0.21001;14.389059999999999;16.594990000000003;19.04495;11.956585
0.22001;14.44051;16.65393;19.139219999999998;11.999334999999999
0.23001000000000002;14.494769999999999;16.71958;19.243959999999998;12.07191
0.24001;14.5402;16.788369999999997;19.32781;12.117735
0.25001;14.58401;16.85578;19.40024;12.166875000000001
0.26001;14.61678;16.90124;19.434060000000002;12.219704999999998
0.27001000000000003;14.66481;16.960779999999996;19.49744;12.246350000000001
0.28001000000000004;14.67577;16.984270000000002;19.56422;12.29703
0.29001;14.720360000000001;17.051399999999997;19.622770000000003;12.345690000000001
