randomness parameter value;Pairing;Smooth;Slim;Pairing Lazy
randomness parameter value;0;12;24;25
1e-05;3.3110000000000004;0.9997999999999998;0.9997999999999998;2.1883499999999994
0.01001;9.68417;6.312499999999999;7.216170000000001;6.64637
0.02001;10.84982;7.16866;8.44214;7.828185
0.03001;11.53723;7.6603699999999995;9.16322;8.55246
0.040010000000000004;12.001730000000002;7.996669999999999;9.66292;9.080090000000002
0.050010000000000006;12.383560000000001;8.26647;10.058390000000001;9.500995000000001
0.06001;12.667799999999998;8.46475;10.352909999999998;9.840195
0.07001;12.91055;8.64011;10.6213;10.112824999999999
0.08001;13.10008;8.779409999999999;10.82373;10.358055
0.09000999999999999;13.284019999999998;8.90247;11.02444;10.570095
0.10001;13.439160000000001;9.02084;11.183589999999999;10.759465
0.11001;13.5876;9.12171;11.32892;10.939535000000001
0.12000999999999999;13.699069999999999;9.19941;11.44097;11.06315
0.13001000000000001;13.801789999999999;9.26446;11.549009999999999;11.196085000000002
0.14001000000000002;13.902619999999999;9.33639;11.670600000000002;11.32027
0.15001;13.986209999999998;9.40618;11.756490000000003;11.420300000000001
0.16001;14.08183;9.465679999999999;11.85124;11.554659999999998
0.17001000000000002;14.153589999999998;9.51207;11.922089999999999;11.621349999999998
0.18001;14.22588;9.57094;12.001840000000001;11.73506
0.19001;14.296000000000001;9.618730000000001;12.0633;11.803934999999997
0.20001000000000002;14.35661;9.66571;12.13468;11.884735
0.21001;14.389059999999999;9.69749;12.182110000000002;11.956585
0.22001;14.44051;9.72455;12.234809999999998;11.999334999999999
0.23001000000000002;14.494769999999999;9.761339999999999;12.298850000000002;12.07191
0.24001;14.5402;9.79337;12.34645;12.117735
0.25001;14.58401;9.82828;12.395179999999998;12.166875000000001
0.26001;14.61678;9.85008;12.412770000000002;12.219704999999998
0.27001000000000003;14.66481;9.88021;12.447090000000003;12.246350000000001
0.28001000000000004;14.67577;9.89309;12.49006;12.29703
0.29001;14.720360000000001;9.92676;12.52285;12.345690000000001
